Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Label,BinaryLabel
104.16.207.165,443,192.168.10.5,54865,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
104.16.28.216,80,192.168.10.5,55054,6,109,1,1,6,6,110091.7431,18348.62385,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
104.16.28.216,80,192.168.10.5,55055,6,52,1,1,6,6,230769.2308,38461.53846,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
104.17.241.25,443,192.168.10.16,46236,6,34,1,1,6,6,352941.1765,58823.52941,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
104.19.196.102,443,192.168.10.5,54863,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
104.20.10.120,443,192.168.10.5,54871,6,1022,2,0,12,0,11741.68297,1956.947162,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
104.20.10.120,443,192.168.10.5,54925,6,4,2,0,12,0,3000000.0,500000.0,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
104.20.10.120,443,192.168.10.5,54925,6,42,1,1,6,6,285714.2857,47619.04762,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
104.28.13.116,443,192.168.10.8,9282,6,4,2,0,12,0,3000000.0,500000.0,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
104.97.123.193,443,192.168.10.5,55153,6,4,2,0,37,0,9250000.0,500000.0,31,6,18.5,0,0,0.0,22.66666667,14.43375673,208.3333333,34.0,BENIGN,0
104.97.125.160,443,192.168.10.5,55143,6,3,2,0,37,0,12300000.0,666666.6667,31,6,18.5,0,0,0.0,22.66666667,14.43375673,208.3333333,34.0,BENIGN,0
104.97.125.160,443,192.168.10.5,55144,6,1,2,0,37,0,37000000.0,2000000.0,31,6,18.5,0,0,0.0,22.66666667,14.43375673,208.3333333,34.0,BENIGN,0
104.97.125.160,443,192.168.10.5,55145,6,4,2,0,37,0,9250000.0,500000.0,31,6,18.5,0,0,0.0,22.66666667,14.43375673,208.3333333,34.0,BENIGN,0
104.97.139.37,443,192.168.10.5,55254,6,3,3,0,43,0,14300000.0,1000000.0,31,6,14.33333333,0,0,0.0,12.25,12.5,156.25,16.33333333,BENIGN,0
104.97.140.32,80,192.168.10.16,36206,6,54,1,1,0,0,0.0,37037.03704,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
121.29.54.141,443,192.168.10.25,53524,6,1,2,0,0,0,0.0,2000000.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
121.29.54.141,443,192.168.10.25,53524,6,154,1,1,0,0,0.0,12987.01299,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
121.29.54.141,443,192.168.10.25,53526,6,1,2,0,0,0,0.0,2000000.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
121.29.54.141,443,192.168.10.25,53526,6,118,1,1,0,0,0.0,16949.15254,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
